Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Mileage(kmpl),Engine(CC),Power(bhp),Car_Age(Years),Price(in Lakhs),Brand,Model
Hyundai i20 1.2 Magna Executive,Kochi,2016,28470,Petrol,Manual,First,5,18.6,1197.0,81.83,9,6.95,Hyundai,i20 1.2
Hyundai EON 1.0 Kappa Magna Plus Optional,Kolkata,2014,9759,Petrol,Manual,First,5,20.3,998.0,68.05,11,2.75,Hyundai,EON 1.0
Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,5,22.9,1248.0,74.0,11,5.1,Maruti,Swift VDI
Hyundai i20 Sportz 1.2,Chennai,2017,8000,Petrol,Manual,First,5,18.6,1197.0,81.83,8,6.75,Hyundai,i20 Sportz
Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,5,18.5,1197.0,85.8,11,3.69,Maruti,Ritz ZXi
Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,5,22.9,1248.0,74.0,12,5.45,Maruti,Swift VDI
Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,5,17.5,1199.0,88.7,7,9.29,Honda,WRV i-VTEC
Hyundai Xcent 1.2 Kappa AT S Option,Chennai,2015,53000,Petrol,Automatic,Second,5,16.9,1197.0,81.86,10,4.0,Hyundai,Xcent 1.2
Honda Amaze E i-Vtech,Kolkata,2013,40000,Petrol,Manual,First,5,18.0,1198.0,86.7,12,2.9,Honda,Amaze E
Hyundai Verna 1.6 SX VTVT (O),Pune,2013,21107,Petrol,Manual,First,5,17.1,1591.0,121.3,12,5.25,Hyundai,Verna 1.6
Honda City V MT,Mumbai,2014,56000,Petrol,Manual,First,5,16.8,1497.0,116.3,11,5.75,Honda,City V
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,19623,Petrol,Manual,First,5,15.29,1591.0,121.3,8,13.12,Hyundai,Creta 1.6
Mahindra XUV500 W8 2WD,Kochi,2014,70963,Diesel,Manual,First,7,15.1,2179.0,140.0,11,7.83,Mahindra,XUV500 W8
Maruti Wagon R LXI CNG,Mumbai,2013,25755,CNG,Manual,First,5,26.6,998.0,58.16,12,3.15,Maruti,Wagon R
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2013,51450,Diesel,Manual,First,7,12.8,2494.0,102.0,12,10.4,Toyota,Innova 2.5
Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,5,22.9,1248.0,74.0,13,4.35,Maruti,Swift VDI
Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,5,22.5,998.0,67.0,8,5.23,Maruti,Wagon R
Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,5,18.9,1197.0,81.86,9,6.01,Hyundai,Grand i10
Honda Amaze VX i-DTEC,Hyderabad,2014,97236,Diesel,Manual,First,5,25.8,1498.0,98.6,11,4.4,Honda,Amaze VX
BMW 3 Series 320d Highline,Chennai,2010,83000,Diesel,Automatic,First,5,16.07,1995.0,181.0,15,12.75,BMW,3 Series
Ford Figo Petrol Titanium,Delhi,2011,65000,Petrol,Manual,First,5,15.6,1196.0,70.0,14,2.4,Ford,Figo Petrol
Volkswagen Ameo 1.2 MPI Trendline,Kochi,2018,46007,Petrol,Manual,First,5,17.0,1198.0,73.75,7,5.71,Volkswagen,Ameo 1.2
Ford Ecosport 1.5 DV5 MT Trend,Kochi,2015,65925,Diesel,Manual,Second,5,22.7,1498.0,89.84,10,5.49,Ford,Ecosport 1.5
Honda City 1.3 EXI,Pune,2004,73500,Petrol,Manual,Second,5,13.0,1343.0,90.0,21,1.3,Honda,City 1.3
Mahindra XUV500 W6 2WD,Kolkata,2014,55000,Diesel,Manual,First,7,16.0,2179.0,140.0,11,8.5,Mahindra,XUV500 W6
Toyota Fortuner 4x2 Manual,Delhi,2012,115000,Diesel,Manual,First,7,13.0,2982.0,168.5,13,12.99,Toyota,Fortuner 4x2
Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,5,18.9,1197.0,81.86,8,5.0,Hyundai,Grand i10
Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,5,28.4,1248.0,73.75,8,9.0,Maruti,Dzire AMT
Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,5,22.9,1248.0,74.0,9,5.22,Maruti,Swift VDI
Volkswagen Polo Petrol Highline 1.2L,Pune,2012,19030,Petrol,Manual,First,5,16.47,1198.0,73.9,13,3.8,Volkswagen,Polo Petrol
Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,5,18.16,1197.0,78.9,6,7.27,Toyota,Etios Liva
Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,5,22.0,1197.0,81.8,9,5.1,Maruti,Swift VXI
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Bangalore,2013,29000,Diesel,Automatic,First,5,14.21,2143.0,203.0,12,29.0,Mercedes-Benz,E-Class 2009-2013
Maruti Wagon R VXI,Pune,2013,61000,Petrol,Manual,First,5,18.9,998.0,67.1,12,2.9,Maruti,Wagon R
Tata Nano Lx BSIV,Kochi,2012,4187,Petrol,Manual,First,4,26.0,624.0,35.0,13,1.38,Tata,Nano Lx
Skoda Laura 1.8 TSI Ambiente,Bangalore,2011,46000,Petrol,Manual,First,5,13.4,1798.0,157.8,14,5.5,Skoda,Laura 1.8
Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,5,17.21,1197.0,103.5,9,7.25,Volkswagen,Polo GT
Hyundai Verna 1.6 SX,Coimbatore,2014,83558,Diesel,Manual,First,5,22.32,1582.0,126.32,11,6.98,Hyundai,Verna 1.6
Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,5,22.95,1248.0,74.0,8,5.25,Tata,Bolt Quadrajet
Hyundai EON D Lite Plus,Kolkata,2013,36000,Petrol,Manual,First,5,21.1,814.0,55.2,12,1.95,Hyundai,EON D
Audi A4 2.0 TDI 177 Bhp Premium Plus,Bangalore,2014,21000,Diesel,Automatic,First,5,17.11,1968.0,174.33,11,24.5,Audi,A4 2.0
Toyota Innova 2.5 GX (Diesel) 7 Seater,Kochi,2013,62162,Diesel,Manual,First,7,12.99,2494.0,100.0,12,8.31,Toyota,Innova 2.5
Mercedes-Benz M-Class ML 350 CDI,Hyderabad,2012,83000,Diesel,Automatic,First,5,11.74,2987.0,254.8,13,36.0,Mercedes-Benz,M-Class ML
Hyundai Xcent 1.1 CRDi S,Pune,2015,58000,Diesel,Manual,First,5,24.4,1120.0,71.0,10,5.5,Hyundai,Xcent 1.1
Honda Accord 2.4 AT,Kochi,2011,62332,Petrol,Automatic,First,5,11.7,2354.0,177.6,14,5.89,Honda,Accord 2.4
Volkswagen Vento 1.5 TDI Highline,Kochi,2016,50867,Diesel,Manual,First,5,20.34,1498.0,103.2,9,7.95,Volkswagen,Vento 1.5
Hyundai i20 Sportz Petrol,Mumbai,2010,73000,Petrol,Manual,First,5,17.0,1197.0,80.0,15,2.75,Hyundai,i20 Sportz
Hyundai Elantra CRDi SX,Jaipur,2012,98008,Diesel,Manual,First,5,22.7,1582.0,126.24,13,6.25,Hyundai,Elantra CRDi
Ford Figo Diesel Titanium,Hyderabad,2015,36000,Diesel,Manual,First,5,20.0,1399.0,68.05,10,4.95,Ford,Figo Diesel
Hyundai i20 1.2 Magna Executive,Kochi,2019,27339,Petrol,Manual,First,5,18.6,1197.0,81.83,6,6.27,Hyundai,i20 1.2
Hyundai Verna 1.6 CRDi SX,Kolkata,2017,25000,Diesel,Manual,First,5,23.9,1582.0,126.2,8,8.65,Hyundai,Verna 1.6
Hyundai Grand i10 Asta,Kolkata,2014,37000,Petrol,Manual,First,5,18.9,1197.0,82.0,11,3.5,Hyundai,Grand i10
Audi Q5 2.0 TDI,Hyderabad,2015,56000,Diesel,Automatic,First,5,14.16,1968.0,174.3,10,35.0,Audi,Q5 2.0
Maruti Swift Dzire ZXi,Kolkata,2015,27000,Petrol,Manual,First,5,17.5,1298.0,85.8,10,4.45,Maruti,Swift Dzire
Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,First,5,18.5,1197.0,80.0,13,2.65,Hyundai,i20 Magna
Mahindra KUV 100 mFALCON D75 K4 Plus 5str,Kolkata,2017,10500,Diesel,Manual,First,5,25.32,1198.0,77.0,8,4.7,Mahindra,KUV 100
Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,Diesel,Automatic,First,5,18.23,1582.0,126.2,11,8.9,Hyundai,Elantra 1.6
Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,First,5,17.1,1956.0,170.0,8,17.45,Jeep,Compass 2.0
Maruti Vitara Brezza VDi Option,Coimbatore,2017,71256,Diesel,Manual,First,5,24.3,1248.0,88.5,8,9.58,Maruti,Vitara Brezza
Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,5,14.28,1798.0,138.03,13,6.22,Toyota,Corolla Altis
Mahindra XUV500 W8 2WD,Kolkata,2013,87284,Diesel,Manual,First,7,15.1,2179.0,140.0,12,7.8,Mahindra,XUV500 W8
BMW X1 xDrive 20d xLine,Mumbai,2016,7000,Diesel,Automatic,First,5,20.68,1995.0,190.0,9,27.75,BMW,X1 xDrive
Hyundai i20 Magna 1.4 CRDi,Pune,2015,29000,Diesel,Manual,Second,5,22.54,1396.0,88.73,10,7.0,Hyundai,i20 Magna
Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,5,11.57,2987.0,254.79,8,64.87,Mercedes-Benz,GLE 350d
Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,5,17.3,1998.0,163.7,12,6.5,Chevrolet,Cruze LTZ
Hyundai i20 1.2 Magna,Jaipur,2011,82000,Petrol,Manual,Second,5,18.5,1197.0,80.0,14,2.7,Hyundai,i20 1.2
Honda Brio S MT,Mumbai,2012,70000,Petrol,Manual,Second,5,19.4,1198.0,86.8,13,2.5,Honda,Brio S
Nissan Evalia 2013 XL,Hyderabad,2013,166194,Diesel,Manual,First,7,19.3,1461.0,84.8,12,3.9,Nissan,Evalia 2013
Volkswagen Polo Petrol Trendline 1.2L,Delhi,2015,58000,Petrol,Manual,First,5,16.47,1198.0,73.9,10,3.95,Volkswagen,Polo Petrol
Hyundai i10 Sportz 1.2,Chennai,2010,77000,Petrol,Manual,Second,5,20.36,1197.0,78.9,15,2.1,Hyundai,i10 Sportz
Chevrolet Cruze LTZ AT,Pune,2009,73204,Diesel,Automatic,Third,4,18.1,1991.0,147.9,16,3.5,Chevrolet,Cruze LTZ
Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,5,19.81,1086.0,68.05,18,2.0,Hyundai,i10 Era
Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,7,20.77,1248.0,88.76,11,5.35,Maruti,Ertiga VDI
Honda Amaze S i-Dtech,Delhi,2013,90000,Diesel,Manual,First,5,25.8,1498.0,98.6,12,3.8,Honda,Amaze S
Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,5,15.5,1595.0,122.0,9,17.25,Mercedes-Benz,A Class
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,5,18.9,1197.0,81.86,7,5.53,Hyundai,Grand i10
Hyundai i10 Sportz 1.2,Pune,2009,68000,Petrol,Manual,Third,5,20.36,1197.0,78.9,16,1.95,Hyundai,i10 Sportz
Maruti Swift DDiS ZDI Plus,Hyderabad,2017,2000,Diesel,Manual,First,5,28.4,1248.0,74.0,8,8.2,Maruti,Swift DDiS
Honda City 1.3 EXI,Pune,1999,140000,Petrol,Manual,First,5,13.0,1343.0,90.0,26,0.9,Honda,City 1.3
Toyota Innova 2.5 GX (Diesel) 7 Seater,Pune,2013,255000,Diesel,Manual,Third,7,12.99,2494.0,100.6,12,6.5,Toyota,Innova 2.5
Mini Cooper Countryman D High,Coimbatore,2014,45535,Diesel,Automatic,First,5,23.8,1998.0,112.0,11,19.41,Mini,Cooper Countryman
Fiat Linea T-Jet Active,Coimbatore,2016,39228,Petrol,Manual,First,5,15.7,1368.0,112.4,9,6.58,Fiat,Linea T-Jet
Chevrolet Aveo 1.4 LT,Mumbai,2011,57000,Petrol,Manual,Second,5,14.49,1399.0,92.7,14,2.1,Chevrolet,Aveo 1.4
Hyundai i10 Era 1.1,Chennai,2008,85445,Petrol,Manual,Second,5,19.81,1086.0,68.05,17,2.0,Hyundai,i10 Era
Hyundai Xcent 1.1 CRDi Base,Delhi,2015,54000,Diesel,Manual,First,5,24.4,1120.0,71.0,10,3.7,Hyundai,Xcent 1.1
Maruti Celerio VXI AT,Mumbai,2014,53000,Petrol,Automatic,First,5,23.1,998.0,67.04,11,3.8,Maruti,Celerio VXI
Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,5,20.36,1197.0,78.9,11,3.25,Hyundai,i10 Sportz
Renault Duster 85PS Diesel RxL,Coimbatore,2015,65668,Diesel,Manual,First,5,19.87,1461.0,83.8,10,5.53,Renault,Duster 85PS
BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,5,22.69,1995.0,190.0,14,10.9,BMW,3 Series
Hyundai Grand i10 Sportz,Kolkata,2018,1800,Petrol,Manual,First,5,18.9,1197.0,82.0,7,5.1,Hyundai,Grand i10
Hyundai Santro DX,Hyderabad,2007,96000,Petrol,Manual,Second,5,0.0,999.0,0.0,18,2.2,Hyundai,Santro DX
Chevrolet Spark 1.0 LS,Pune,2009,44200,Petrol,Manual,Second,5,18.0,995.0,62.0,16,1.6,Chevrolet,Spark 1.0
Honda City i VTEC VX Option,Ahmedabad,2018,14000,Petrol,Manual,First,5,17.4,1497.0,117.3,7,11.25,Honda,City i
Volkswagen Vento Diesel Highline,Chennai,2013,720000,Diesel,Manual,First,5,20.54,1598.0,103.6,12,5.9,Volkswagen,Vento Diesel
Toyota Fortuner 4x2 4 Speed AT,Delhi,2012,73000,Diesel,Automatic,First,7,11.5,2982.0,169.0,13,14.4,Toyota,Fortuner 4x2
Honda City 1.5 S MT,Delhi,2011,68000,Petrol,Manual,First,5,17.0,1497.0,118.0,14,3.6,Honda,City 1.5
BMW 5 Series 2013-2017 520d Luxury Line,Jaipur,2017,19543,Diesel,Automatic,First,5,18.12,1995.0,190.0,8,40.5,BMW,5 Series
Audi Q5 30 TDI quattro Premium Plus,Bangalore,2014,38000,Diesel,Automatic,Second,5,14.16,1968.0,174.3,11,38.95,Audi,Q5 30
Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,5,23.2,1248.0,73.94,11,3.6,Maruti,Ritz LDi
Volkswagen Vento 1.5 TDI Highline AT,Kochi,2016,44782,Diesel,Automatic,First,5,21.21,1498.0,103.2,9,7.12,Volkswagen,Vento 1.5
Honda City i DTEC SV,Kochi,2016,55700,Diesel,Manual,First,5,26.0,1498.0,98.6,9,7.52,Honda,City i
Audi A4 New 2.0 TDI Multitronic,Delhi,2012,60000,Diesel,Automatic,Second,5,15.2,1968.0,140.8,13,10.35,Audi,A4 New
Skoda Rapid 1.6 MPI Elegance,Hyderabad,2014,56000,Petrol,Manual,First,5,15.0,1598.0,103.52,11,7.0,Skoda,Rapid 1.6
Toyota Fortuner 3.0 Diesel,Delhi,2011,60000,Diesel,Manual,First,7,11.5,2982.0,171.0,14,10.85,Toyota,Fortuner 3.0
Chevrolet Optra Magnum 2.0 LT BS3,Mumbai,2010,78563,Diesel,Manual,First,5,16.52,1991.0,123.7,15,2.35,Chevrolet,Optra Magnum
Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,7,15.1,1196.0,73.0,11,2.9,Maruti,Eeco 7
Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,5,20.73,1373.0,91.1,8,7.65,Maruti,Ciaz ZXi
Maruti Ciaz VDi Plus SHVS,Delhi,2016,66000,Diesel,Manual,First,5,28.09,1248.0,88.5,9,6.4,Maruti,Ciaz VDi
Toyota Innova 2.5 LE 2014 Diesel 7 Seater,Pune,2014,102418,Diesel,Manual,First,7,12.99,2494.0,100.6,11,10.1,Toyota,Innova 2.5
Maruti Swift Dzire VXI,Kolkata,2014,48800,Petrol,Manual,First,5,19.1,1197.0,85.8,11,4.25,Maruti,Swift Dzire
Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,7,11.36,2755.0,171.5,6,19.65,Toyota,Innova Crysta
Tata Indica V2 eLX,Pune,2017,8200,Diesel,Manual,First,5,25.0,1396.0,69.0,8,4.4,Tata,Indica V2
Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,5,18.5,1197.0,82.85,13,3.25,Hyundai,i20 Magna
Ford Fiesta 1.4 Duratorq ZXI,Pune,2012,78000,Diesel,Manual,First,5,17.8,1399.0,68.0,13,2.8,Ford,Fiesta 1.4
Chevrolet Enjoy 1.3 TCDi LS 8,Kolkata,2015,50000,Diesel,Manual,First,8,18.2,1248.0,73.74,10,4.3,Chevrolet,Enjoy 1.3
Ford Fiesta 1.4 Duratorq EXI,Chennai,2006,89327,Diesel,Manual,Third,5,17.8,1399.0,68.0,19,1.55,Ford,Fiesta 1.4
Honda CR-V 2.4 MT,Chennai,2007,98000,Petrol,Manual,Second,5,10.8,2354.0,152.0,18,4.7,Honda,CR-V 2.4
Honda Jazz 1.2 VX i VTEC,Kochi,2017,24700,Petrol,Manual,First,5,18.7,1199.0,88.7,8,7.07,Honda,Jazz 1.2
Mercedes-Benz GLS 350d Grand Edition,Delhi,2018,6000,Diesel,Automatic,First,7,11.0,2987.0,258.0,7,79.0,Mercedes-Benz,GLS 350d
Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,5,18.9,1197.0,81.86,7,5.75,Hyundai,Grand i10
Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,5,18.5,1197.0,85.8,13,3.25,Maruti,Ritz VXi
Volkswagen Ameo 1.5 TDI Highline AT,Coimbatore,2017,22440,Diesel,Automatic,First,5,22.0,1498.0,108.495,8,8.89,Volkswagen,Ameo 1.5
Honda City i VTEC SV,Mumbai,2015,73070,Petrol,Manual,First,5,17.4,1497.0,117.3,10,5.9,Honda,City i
Honda Jazz 1.2 S i VTEC,Kolkata,2016,21771,Petrol,Manual,First,5,18.7,1199.0,88.7,9,4.95,Honda,Jazz 1.2
Maruti Swift Ldi BSIV,Delhi,2014,62000,Diesel,Manual,First,5,17.8,1248.0,75.0,11,3.75,Maruti,Swift Ldi
Hyundai Creta 1.6 CRDi AT SX Plus,Kochi,2017,37024,Diesel,Automatic,First,5,17.01,1582.0,126.2,8,10.97,Hyundai,Creta 1.6
Audi A7 2011-2015 3.0 TDI Quattro,Kochi,2014,60336,Diesel,Automatic,Second,5,14.4,2967.0,241.4,11,24.94,Audi,A7 2011-2015
Hyundai EON D Lite Plus,Kolkata,2014,26008,Petrol,Manual,First,5,21.1,814.0,55.2,11,1.97,Hyundai,EON D
Ford Figo Diesel EXI,Jaipur,2010,90000,Diesel,Manual,Second,5,20.0,1399.0,68.0,15,1.4,Ford,Figo Diesel
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,5,17.0,1198.0,73.75,7,7.27,Volkswagen,Ameo 1.2
Renault Scala Diesel RxL,Kolkata,2013,40000,Diesel,Manual,First,5,21.64,1461.0,84.8,12,4.0,Renault,Scala Diesel
Honda Jazz 1.2 V i VTEC,Kolkata,2015,45000,Petrol,Manual,First,5,18.7,1199.0,88.7,10,4.75,Honda,Jazz 1.2
Hyundai i20 1.2 Sportz,Delhi,2015,42000,Petrol,Manual,First,5,17.0,1197.0,80.0,10,5.1,Hyundai,i20 1.2
Audi A4 3.0 TDI Quattro Premium,Coimbatore,2012,46913,Diesel,Automatic,First,5,14.94,2967.0,241.4,13,16.11,Audi,A4 3.0
Mahindra Ssangyong Rexton RX7,Delhi,2014,62000,Diesel,Automatic,First,7,11.18,2696.0,184.0,11,10.55,Mahindra,Ssangyong Rexton
Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,7,12.9,2755.0,174.5,8,30.0,Toyota,Fortuner 2.8
Skoda Octavia Classic 1.9 TDI MT,Kolkata,2002,69000,Diesel,Manual,First,5,18.7,1896.0,66.0,23,1.6,Skoda,Octavia Classic
Mercedes-Benz New C-Class 250 CDI Classic,Hyderabad,2012,41367,Diesel,Automatic,First,5,15.8,2148.0,170.0,13,18.49,Mercedes-Benz,New C-Class
Maruti Ciaz 1.4 Zeta,Kochi,2018,15982,Petrol,Manual,First,5,20.73,1373.0,91.1,7,9.96,Maruti,Ciaz 1.4
Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,5,22.9,1248.0,74.0,12,4.75,Maruti,Swift ZDi
Toyota Qualis FS B3,Bangalore,2002,63000,Diesel,Manual,Third,10,13.1,2446.0,75.0,23,3.65,Toyota,Qualis FS
BMW 5 Series 2007-2010 525d Sedan,Delhi,2012,49000,Diesel,Automatic,Second,5,16.73,2495.0,218.0,13,15.5,BMW,5 Series
Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,Kochi,2013,48272,Diesel,Manual,First,6,10.5,2835.0,116.9,12,11.82,Mitsubishi,Pajero 2.8
Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,5,13.4,1794.0,125.0,17,2.05,Toyota,Corolla H2
Maruti Wagon R LXI CNG,Ahmedabad,2016,77000,CNG,Manual,First,5,26.6,998.0,58.16,9,3.3,Maruti,Wagon R
Maruti Omni E MPI STD BS IV,Mumbai,2013,11734,Petrol,Manual,First,8,16.8,796.0,34.2,12,2.25,Maruti,Omni E
Audi A6 2011-2015 2.0 TDI,Kochi,2014,62012,Diesel,Automatic,First,5,17.68,1968.0,174.33,11,20.12,Audi,A6 2011-2015
Hyundai Xcent 1.2 Kappa S Option CNG,Chennai,2017,46000,CNG,Manual,First,5,25.0,1197.0,81.86,8,4.95,Hyundai,Xcent 1.2
Honda Jazz 1.5 S i DTEC,Coimbatore,2016,45449,Diesel,Manual,First,5,27.3,1498.0,98.6,9,7.48,Honda,Jazz 1.5
Mercedes-Benz E-Class 200 Kompressor Elegance,Mumbai,2004,85000,Petrol,Automatic,Second,5,10.5,1796.0,157.7,21,5.5,Mercedes-Benz,E-Class 200
Honda City 1.5 EXI,Jaipur,2005,88000,Petrol,Manual,Second,5,13.0,1493.0,100.0,20,1.7,Honda,City 1.5
Audi A4 2.0 TDI,Kochi,2013,45330,Diesel,Automatic,First,5,16.55,1968.0,147.51,12,13.19,Audi,A4 2.0
Maruti Swift Dzire VXI,Mumbai,2012,88000,Petrol,Manual,First,5,19.1,1197.0,85.8,13,3.85,Maruti,Swift Dzire
Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,5,28.4,1248.0,73.75,9,5.75,Maruti,Dzire VDI
Mahindra XUV500 W8 4WD,Pune,2014,81000,Diesel,Manual,First,7,15.1,2179.0,140.0,11,9.0,Mahindra,XUV500 W8
Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,5,18.6,1199.0,79.4,13,2.21,Chevrolet,Beat LT
Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,5,23.0,1498.0,98.96,8,8.09,Ford,EcoSport 1.5
BMW 5 Series 2013-2017 530d M Sport,Coimbatore,2017,27313,Diesel,Automatic,First,5,14.69,2993.0,258.0,8,48.63,BMW,5 Series
Audi Q5 30 TDI quattro Premium Plus,Coimbatore,2015,42747,Diesel,Automatic,Second,5,14.16,1968.0,174.3,10,39.47,Audi,Q5 30
BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,5,20.68,1995.0,190.0,10,22.24,BMW,X1 sDrive
Hyundai i10 Magna AT,Mumbai,2009,21000,Petrol,Automatic,First,5,19.2,1197.0,80.0,16,2.6,Hyundai,i10 Magna
Hyundai Creta 1.6 CRDi AT SX Plus,Ahmedabad,2016,55100,Diesel,Automatic,First,5,17.01,1582.0,126.2,9,12.0,Hyundai,Creta 1.6
Audi A4 2.0 TDI 177 Bhp Premium Plus,Chennai,2014,70000,Diesel,Automatic,First,5,17.11,1968.0,174.33,11,18.0,Audi,A4 2.0
Mercedes-Benz S Class 2005 2013 S 350 L,Mumbai,2007,55000,Petrol,Automatic,Third,5,10.13,3498.0,364.9,18,9.99,Mercedes-Benz,S Class
Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,5,20.36,1197.0,78.9,13,2.45,Hyundai,i10 Magna
Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,5,23.0,1498.0,98.96,8,8.99,Ford,EcoSport 1.5
Volkswagen Vento Diesel Highline,Kolkata,2011,35000,Diesel,Manual,First,5,20.54,1598.0,103.6,14,3.15,Volkswagen,Vento Diesel
Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,5,28.4,1248.0,73.75,8,8.2,Maruti,Dzire ZDI
Mahindra Scorpio 1.99 S10,Ahmedabad,2016,98000,Diesel,Manual,First,7,15.4,1997.0,120.0,9,11.5,Mahindra,Scorpio 1.99
Hyundai i20 Asta 1.4 CRDi,Coimbatore,2016,44487,Diesel,Manual,First,5,22.54,1396.0,88.73,9,7.3,Hyundai,i20 Asta
Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,5,19.7,796.0,46.3,17,1.59,Maruti,Alto LXi
Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,5,20.36,1197.0,78.9,10,3.15,Hyundai,i10 Magna
Mahindra Scorpio S6 7 Seater,Kolkata,2015,52373,Diesel,Manual,Second,7,15.4,2179.0,120.0,10,8.5,Mahindra,Scorpio S6
Skoda Fabia 1.2L Diesel Classic,Hyderabad,2010,66285,Diesel,Manual,First,5,19.5,1199.0,75.0,15,3.0,Skoda,Fabia 1.2L
BMW X5 xDrive 30d,Mumbai,2012,66000,Diesel,Automatic,First,5,15.3,2993.0,258.0,13,21.0,BMW,X5 xDrive
Honda Jazz 1.5 S i DTEC,Hyderabad,2016,43000,Diesel,Manual,First,5,27.3,1498.0,98.6,9,7.75,Honda,Jazz 1.5
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Mumbai,2013,45200,Diesel,Automatic,First,5,10.0,2148.0,170.0,12,23.0,Mercedes-Benz,E-Class 2009-2013
Mahindra XUV500 AT W10 FWD,Mumbai,2016,41000,Diesel,Automatic,First,7,16.0,2179.0,140.0,9,13.75,Mahindra,XUV500 AT
Honda City i VTEC CVT SV,Kochi,2017,39430,Petrol,Automatic,First,5,18.0,1497.0,117.3,8,8.29,Honda,City i
Maruti Swift VDI,Coimbatore,2014,83274,Diesel,Manual,First,5,22.9,1248.0,74.0,11,5.79,Maruti,Swift VDI
Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2017,32324,Diesel,Automatic,First,5,14.84,2143.0,170.0,8,30.5,Mercedes-Benz,New C-Class
Honda City 1.5 S MT,Mumbai,2011,49999,Petrol,Manual,First,5,17.0,1497.0,118.0,14,3.8,Honda,City 1.5
Tata Sumo EX,Bangalore,2014,66000,Diesel,Manual,First,7,15.3,2956.0,83.8,11,4.45,Tata,Sumo EX
Hyundai i20 Magna,Delhi,2012,54000,Petrol,Manual,First,5,18.5,1197.0,82.85,13,3.3,Hyundai,i20 Magna
Fiat Linea 1.3 Dynamic,Jaipur,2009,80000,Diesel,Manual,Second,5,20.4,1248.0,91.2,16,1.75,Fiat,Linea 1.3
